slug,course_name,wikipedia_url,image_url,author,license,date_sourced,status
royal-west-norfolk,Royal West Norfolk Golf Club,https://www.rwngc.org/,https://www.rwngc.org/wp-content/themes/awsite/assets/images/favicon/apple-touch-icon.png,,Trademark of Royal West Norfolk Golf Club,2026-04-30,favicon_scraped
trump-international-scotland,Trump International Golf Links Scotland,,,,,2026-04-30,no_website_found
gleneagles-kings,Gleneagles (King's),,,,,2026-04-30,no_website_found
gleneagles-pga-centenary,Gleneagles (PGA Centenary),,,,,2026-04-30,no_website_found
prestwick,Prestwick Golf Club,https://www.prestwickcc.com/,,,,2026-04-30,icon_rejected
royal-st-davids,Royal St David's Golf Club,,,,,2026-04-30,no_website_found
old-head,Old Head Golf Links,https://www.oldhead.com/,https://www.oldhead.com/images/favicon/apple-icon-72x72.png,,Trademark of Old Head Golf Links,2026-04-30,favicon_scraped
waterville,Waterville Golf Links,,,,,2026-04-30,no_website_found
royal-dublin,Royal Dublin Golf Club,https://www.theroyaldublingolfclub.com/,https://www.theroyaldublingolfclub.com/images/resources/royaldublin/favicon.png,,Trademark of Royal Dublin Golf Club,2026-04-30,favicon_scraped
county-sligo,County Sligo Golf Club,https://countysligo.com/,https://countysligo.com/wp-content/uploads/2024/06/cropped-siteicon-180x180.png,,Trademark of County Sligo Golf Club,2026-04-30,favicon_scraped
enniscrone,Enniscrone Golf Club,https://enniscronegolf.com/,https://enniscronegolf.com/wp-content/uploads/2016/08/cropped-enniscrone-gc-logo-1-180x180.jpg,,Trademark of Enniscrone Golf Club,2026-04-30,favicon_scraped
royal-portrush-valley,Royal Portrush Golf Club (Valley),https://www.royalportrushgolfclub.com/,https://www.royalportrushgolfclub.com/wp-content/uploads/2025/03/cropped-Site-Icon-180x180.png,,Trademark of Royal Portrush Golf Club (Valley),2026-04-30,favicon_scraped
falsterbo,Falsterbo Golfklubb,,,,,2026-04-30,no_website_found
halmstad,Halmstad Golfklubb (North),https://halmstadcc.com/,https://halmstadcc.com/wp-content/uploads/2023/02/cropped-android-chrome-512x512-1-180x180.png,,Trademark of Halmstad Golfklubb (North),2026-04-30,favicon_scraped
sotogrande,Real Club de Golf Sotogrande,https://sotogrande.com/,https://sotogrande.com/wp-content/uploads/2024/01/cropped-favicon-180x180.png,,Trademark of Real Club de Golf Sotogrande,2026-04-30,favicon_scraped
la-reserva-sotogrande,La Reserva Club de Sotogrande,https://www.lareservaclubsotogrande.com/,https://www.lareservaclubsotogrande.com/uploads_wp/uploads/2024/04/4_Modelo_2_LRS-3.webp,,Trademark of La Reserva Club de Sotogrande,2026-04-30,favicon_scraped
real-san-sebastian,Real Golf Club de San Sebastian,,,,,2026-04-30,no_website_found
le-touquet-la-mer,Le Touquet Golf Resort (La Mer),,,,,2026-04-30,no_website_found
domaine-de-belesbat,Golf de Belesbat,,,,,2026-04-30,no_website_found
fontainebleau,Golf de Fontainebleau,,,,,2026-04-30,no_website_found
club-zur-vahr,Club zur Vahr (Garlstedter Heide),,,,,2026-04-30,no_website_found
pevero,Pevero Golf Club,https://www.peverogolfclub.com/en/,,,,2026-04-30,icon_rejected
hokkaido-classic,Hokkaido Classic Golf Club,,,,,2026-04-30,no_website_found
naruo,Naruo Golf Club,https://www.naruogc.or.jp/,https://www.naruogc.or.jp/apple-touch-icon.png,,Trademark of Naruo Golf Club,2026-04-30,favicon_scraped
yas-links,Yas Links Abu Dhabi,,,,,2026-04-30,no_website_found
doha-golf-club,Doha Golf Club,https://www.dohagolfclub.com/,,,,2026-04-30,icon_rejected
emirates-majlis,Emirates Golf Club (Majlis),,,,,2026-04-30,no_website_found
mission-hills-shenzhen,Mission Hills (World Cup),https://www.missionhillsgc.com/,https://www.missionhillsgc.com/templates/yoo_avanti/apple_touch_icon.png,,Trademark of Mission Hills (World Cup),2026-04-30,favicon_scraped
diamante-dunes,Diamante Cabo San Lucas (Dunes),https://www.diamantecc.com/,https://www.diamantecc.com/apple-touch-icon.png,,Trademark of Diamante Cabo San Lucas (Dunes),2026-04-30,favicon_scraped
cabot-saint-lucia,Cabot Saint Lucia (Point Hardy),https://cabot.com/saintlucia/,,,,2026-04-30,icon_rejected
casa-de-campo-teeth,Casa de Campo (Teeth of the Dog),https://www.casadecampo.com.do/,https://www.casadecampo.com.do/wp-content/themes/casadecampo/favicon/apple-touch-icon.png,,Trademark of Casa de Campo (Teeth of the Dog),2026-04-30,favicon_scraped
punta-espada,Punta Espada Golf Club,https://www.puntaespadagolf.com/,http://static1.squarespace.com/static/5ddd282fb1d1e507b4f88c35/t/5e81a6be5ed80a421914cce9/1585555135480/Punta+Espada+Logo-blue.png?format=1500w,,Trademark of Punta Espada Golf Club,2026-04-30,favicon_scraped
country-club-bogota,Country Club de Bogota,,,,,2026-04-30,no_website_found
royal-melbourne-east,Royal Melbourne Golf Club (East),https://www.royalmelbourne.com.au/,https://www.royalmelbourne.com.au/wp-content/uploads/2021/08/cropped-favicon-32x32-1-180x180.png,,Trademark of Royal Melbourne Golf Club (East),2026-04-30,favicon_scraped
victoria-golf-club,Victoria Golf Club,https://www.victoriacc.com/,https://www.victoriacc.com/bookmarks/apple-touch-icon.png,,Trademark of Victoria Golf Club,2026-04-30,favicon_scraped
metropolitan-melbourne,Metropolitan Golf Club,https://www.metropolitangolf.com.au/,https://cdn.prod.website-files.com/6809d6b3d39a2c935b82584e/68520b7f50911bc53d0e0eb3_Webclip.jpg,,Trademark of Metropolitan Golf Club,2026-04-30,favicon_scraped
ellerston,Ellerston Golf Course,,,,,2026-04-30,no_website_found
te-arai-south,Te Arai Links (South),https://tearai.com/,https://tearai.com/wp-content/uploads/2022/12/cropped-fav-icon-1-180x180.png,,Trademark of Te Arai Links (South),2026-04-30,favicon_scraped
te-arai-north,Te Arai Links (North),https://tearai.com/,https://tearai.com/wp-content/uploads/2022/12/cropped-fav-icon-1-180x180.png,,Trademark of Te Arai Links (North),2026-04-30,favicon_scraped
paraparaumu-beach,Paraparaumu Beach Golf Club,https://paraparaumubeachgolfclub.co.nz/cms/,https://paraparaumubeachgolfclub.co.nz/cms/wp-content/themes/classic/assets/favicon/apple-icon-72x72.png,,Trademark of Paraparaumu Beach Golf Club,2026-04-30,favicon_scraped
national-golf-club-canada,The National Golf Club of Canada,,,,,2026-04-30,no_website_found
highlands-links,Cape Breton Highlands Links,https://highlandsgolfclub.com/,https://highlandsgolfclub.com/wp-content/uploads/2026/01/Highlands-Logo-Tab-2-300x300.png,,Trademark of Cape Breton Highlands Links,2026-04-30,favicon_scraped
jasper-park,Fairmont Jasper Park Lodge Golf Course,,,,,2026-04-30,no_website_found
banff-springs,Fairmont Banff Springs Golf Course,https://www.banffspringsgolfclub.com/,https://framerusercontent.com/images/Jbh4AOFl0uweOXXVcKs9N5zXkE.png,,Trademark of Fairmont Banff Springs Golf Course,2026-04-30,favicon_scraped
mcarthur,McArthur Golf Club,https://www.mcarthurgolf.com/,https://www.mcarthurgolf.com/apple-touch-icon.png,,Trademark of McArthur Golf Club,2026-04-30,favicon_scraped
stanwich,The Stanwich Club,,,,,2026-04-30,no_website_found
philadelphia-cricket,Philadelphia Cricket Club (Wissahickon),https://www.philacricket.com/activities-and-amenities,https://www.philacricket.com/custom/design/images/iphone_icon.png,,Trademark of Philadelphia Cricket Club (Wissahickon),2026-04-30,favicon_scraped
crooked-stick,Crooked Stick Golf Club,,,,,2026-04-30,no_website_found
yale,Yale Golf Course,https://yalebulldogs.com/sports/2026/2/24/yale-golf-course.aspx,https://yalebulldogs.com/images/logos/site/site.png,,Trademark of Yale Golf Course,2026-04-30,favicon_scraped
augusta-national,Augusta National Golf Club,,,,,2026-04-30,no_website_found
sand-hills,Sand Hills Golf Club,,,,,2026-04-30,no_website_found
wade-hampton,Wade Hampton Golf Club,https://www.wadehamptongc.com/,,,,2026-04-30,icon_rejected
whispering-pines,Whispering Pines Golf Club,,,,,2026-04-30,no_website_found
shadow-creek,Shadow Creek,,,,,2026-04-30,no_website_found
